year_level,avg,err_low,err_high,results_year,domain,test_type,school_id,school_name
Year 3,446,430,463,2014,Reading,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 3,433,419,447,2014,Writing,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 3,445,429,460,2014,Spelling,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 3,458,440,476,2014,Grammar,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 3,422,408,437,2014,Numeracy,Paper,44513,"Middle Park Primary School, Middle Park, VIC"
Year 3,416,396,436,2014,Reading,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 3,409,393,426,2014,Writing,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 3,384,365,402,2014,Spelling,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 3,410,389,432,2014,Grammar,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 3,393,376,410,2014,Numeracy,Paper,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Year 3,427,395,460,2014,Reading,Paper,45587,"Altona College, Altona, VIC"
Year 3,406,379,432,2014,Writing,Paper,45587,"Altona College, Altona, VIC"
Year 3,433,404,463,2014,Spelling,Paper,45587,"Altona College, Altona, VIC"
Year 3,426,392,461,2014,Grammar,Paper,45587,"Altona College, Altona, VIC"
Year 3,400,373,426,2014,Numeracy,Paper,45587,"Altona College, Altona, VIC"
Year 3,476,455,498,2014,Reading,Paper,44062,"Footscray Primary School, Footscray, VIC"
Year 3,402,384,420,2014,Writing,Paper,44062,"Footscray Primary School, Footscray, VIC"
Year 3,436,416,455,2014,Spelling,Paper,44062,"Footscray Primary School, Footscray, VIC"
Year 3,461,438,484,2014,Grammar,Paper,44062,"Footscray Primary School, Footscray, VIC"
Year 3,435,418,452,2014,Numeracy,Paper,44062,"Footscray Primary School, Footscray, VIC"
Year 3,515,491,538,2014,Reading,Paper,44485,"Carlton Gardens Primary School, Carlton, VIC"
Year 3,455,436,475,2014,Writing,Paper,44485,"Carlton Gardens Primary School, Carlton, VIC"
