year,enrolments,school_id,school_name
2014,204.0,45587,"Altona College, Altona, VIC"
2014,1192.0,45360,"Braybrook College, Braybrook, VIC"
2014,441.7,48415,"Kensington Primary School, Kensington, WA"
2014,665.0,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
2014,315.0,50217,"Newport Gardens Primary School, Newport, VIC"
2014,470.0,44224,"Albert Park Primary School, Albert Park, VIC"
2014,317.0,45375,"Mount Alexander 7-12 College, Flemington, VIC"
2014,619.0,44270,"North Melbourne Primary School, North Melbourne, VIC"
2014,1618.0,45442,"Northcote High School, Northcote, VIC"
2014,441.0,44461,"Kensington Primary School, Kensington, VIC"
2014,266.0,44485,"Carlton Gardens Primary School, Carlton, VIC"
2014,358.0,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
2014,198.0,44378,"Footscray City Primary School, Footscray, VIC"
2014,461.0,44513,"Middle Park Primary School, Middle Park, VIC"
2014,365.0,44062,"Footscray Primary School, Footscray, VIC"
2014,582.0,44225,"Williamstown Primary School, Williamstown, VIC"
2014,1019.0,45545,"Brunswick Secondary College, Brunswick, VIC"
2014,995.0,45538,"Bayside P-12 College, Williamstown, VIC"
2014,1462.0,40427,"Williamstown High School, Williamstown, VIC"
2014,172.0,44634,"Spotswood Primary School, Spotswood, VIC"
2014,236.0,44919,"Altona North Primary School, Altona North, VIC"
2014,562.0,44671,"Altona Primary School, Altona, VIC"
2014,92.0,44948,"Carlton Primary School, Carlton, VIC"
2014,696.0,44515,"Yarraville West Primary School, Yarraville, VIC"
2014,596.0,44693,"Kingsville Primary School, Yarraville, VIC"
2014,703.0,50267,"Albert Park College, Albert Park, VIC"
2014,294.0,44714,"Footscray North Primary School, Footscray, VIC"
2014,645.0,44273,"Williamstown North Primary School, Williamstown, VIC"
2014,626.0,44843,"Wembley Primary School, Yarraville, VIC"
2014,441.0,44461,"Kensington Primary School, Kensington, VIC"
2014,1093.0,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
2014,867.0,45454,"Princes Hill Secondary College, Princes Hill, VIC"
2014,557.0,44664,"Footscray West Primary School, West Footscray, VIC"
2014,199.0,45797,"St John's School, Footscray, VIC"
2014,391.0,44044,"Newport Lakes Primary School, Newport, VIC"
2014,1302.0,45475,"University High School, Parkville, VIC"
2014,499.0,45517,"Fitzroy High School, Fitzroy North, VIC"
2014,563.0,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
2015,601.4,44671,"Altona Primary School, Altona, VIC"
2015,624.0,44693,"Kingsville Primary School, Yarraville, VIC"
2015,733.0,44515,"Yarraville West Primary School, Yarraville, VIC"
2015,304.0,44714,"Footscray North Primary School, Footscray, VIC"
2015,469.0,44461,"Kensington Primary School, Kensington, VIC"
2015,1008.7,45545,"Brunswick Secondary College, Brunswick, VIC"
2015,545.0,44225,"Williamstown Primary School, Williamstown, VIC"
2015,1473.7,40427,"Williamstown High School, Williamstown, VIC"
2015,536.8,45517,"Fitzroy High School, Fitzroy North, VIC"
2015,884.0,50267,"Albert Park College, Albert Park, VIC"
2015,217.4,45587,"Altona College, Altona, VIC"
2015,191.0,44634,"Spotswood Primary School, Spotswood, VIC"
2015,362.6,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
2015,478.0,44513,"Middle Park Primary School, Middle Park, VIC"
