Net recurrent income,$ Total,$ per student,year,school_id,school_name
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to debt servicing,0,0,2018,44224,"Albert Park Primary School, Albert Park, VIC"
Subtotal,0,0,2018,44224,"Albert Park Primary School, Albert Park, VIC"
Total net recurrent income,5983858,9874,2018,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to debt servicing,0,0,2018,45475,"University High School, Parkville, VIC"
Total net recurrent income,6244126,9666,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Subtotal,0,0,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to debt servicing,0,0,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to current capital projects,0,0,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Total gross income,5983858,9874,2018,44224,"Albert Park Primary School, Albert Park, VIC"
Less deductions,0,0,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Other private sources,100649,156,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
"Fees, charges and parent contributions",358526,555,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
State / territory government recurring funding,4678135,7242,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Australian government recurrent funding,1106816,1713,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Australian government recurrent funding,3618323,1998,2018,45442,"Northcote High School, Northcote, VIC"
Total net recurrent income,7235588,10162,2018,44843,"Wembley Primary School, Yarraville, VIC"
Australian government recurrent funding,1252613,3018,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC"
State / territory government recurring funding,5355952,12906,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC"
"Fees, charges and parent contributions",643214,1550,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Other private sources,153091,369,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Total gross income,7404870,17843,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Less deductions,0,0,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Total gross income,6244126,9666,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Other private sources,386874,638,2018,44224,"Albert Park Primary School, Albert Park, VIC"
"Fees, charges and parent contributions",248857,411,2018,44224,"Albert Park Primary School, Albert Park, VIC"
State / territory government recurring funding,4316436,7123,2018,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to current capital projects,0,0,2018,44693,"Kingsville Primary School, Yarraville, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44693,"Kingsville Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2018,44693,"Kingsville Primary School, Yarraville, VIC"
Subtotal,0,0,2018,44693,"Kingsville Primary School, Yarraville, VIC"
Total net recurrent income,6045282,9672,2018,44693,"Kingsville Primary School, Yarraville, VIC"
State / territory government recurring funding,14050321,9334,2018,40427,"Williamstown High School, Williamstown, VIC"
"Fees, charges and parent contributions",2549893,1694,2018,40427,"Williamstown High School, Williamstown, VIC"
Other private sources,372417,247,2018,40427,"Williamstown High School, Williamstown, VIC"
Total gross income,20218472,13432,2018,40427,"Williamstown High School, Williamstown, VIC"
Less deductions,0,0,2018,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2018,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2018,40427,"Williamstown High School, Williamstown, VIC"
Subtotal,0,0,2018,40427,"Williamstown High School, Williamstown, VIC"
Total net recurrent income,20218472,13432,2018,40427,"Williamstown High School, Williamstown, VIC"
Total net recurrent income,5043128,9967,2018,44461,"Kensington Primary School, Kensington, VIC"
Subtotal,0,0,2018,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to debt servicing,0,0,2018,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to current capital projects,0,0,2018,44461,"Kensington Primary School, Kensington, VIC"
Less deductions,0,0,2018,44461,"Kensington Primary School, Kensington, VIC"
Total gross income,5043128,9967,2018,44461,"Kensington Primary School, Kensington, VIC"
Other private sources,256622,507,2018,44461,"Kensington Primary School, Kensington, VIC"
"Fees, charges and parent contributions",239298,473,2018,44461,"Kensington Primary School, Kensington, VIC"
State / territory government recurring funding,3692035,7297,2018,44461,"Kensington Primary School, Kensington, VIC"
Australian government recurrent funding,855173,1690,2018,44461,"Kensington Primary School, Kensington, VIC"
Australian government recurrent funding,1031691,1702,2018,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,45475,"University High School, Parkville, VIC"
State / territory government recurring funding,4053937,12952,2018,45587,"Altona College, Altona, VIC"
Less deductions,0,0,2018,45475,"University High School, Parkville, VIC"
"Fees, charges and parent contributions",274235,498,2018,44225,"Williamstown Primary School, Williamstown, VIC"
Total net recurrent income,4402766,9509,2018,44044,"Newport Lakes Primary School, Newport, VIC"
Subtotal,0,0,2018,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2018,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to current capital projects,0,0,2018,44044,"Newport Lakes Primary School, Newport, VIC"
Less deductions,0,0,2018,44044,"Newport Lakes Primary School, Newport, VIC"
Total gross income,4402766,9509,2018,44044,"Newport Lakes Primary School, Newport, VIC"
Other private sources,103611,224,2018,44044,"Newport Lakes Primary School, Newport, VIC"
"Fees, charges and parent contributions",323975,700,2018,44044,"Newport Lakes Primary School, Newport, VIC"
State / territory government recurring funding,3230509,6977,2018,44044,"Newport Lakes Primary School, Newport, VIC"
Australian government recurrent funding,744671,1608,2018,44044,"Newport Lakes Primary School, Newport, VIC"
Other private sources,177077,321,2018,44225,"Williamstown Primary School, Williamstown, VIC"
State / territory government recurring funding,3950531,7170,2018,44225,"Williamstown Primary School, Williamstown, VIC"
Total gross income,5308825,9635,2018,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2018,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44225,"Williamstown Primary School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2018,44225,"Williamstown Primary School, Williamstown, VIC"
Subtotal,0,0,2018,44225,"Williamstown Primary School, Williamstown, VIC"
Total net recurrent income,5308825,9635,2018,44225,"Williamstown Primary School, Williamstown, VIC"
Total net recurrent income,20281978,16226,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Subtotal,0,0,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to debt servicing,0,0,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to current capital projects,0,0,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Less deductions,0,0,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Total gross income,20281978,16226,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Australian government recurrent funding,505463,2703,2018,44919,"Altona North Primary School, Altona North, VIC"
Less deductions,0,0,2018,44225,"Williamstown Primary School, Williamstown, VIC"
Other private sources,469733,376,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Australian government recurrent funding,906982,1646,2018,44225,"Williamstown Primary School, Williamstown, VIC"
Subtotal,0,0,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
Other private sources,127369,205,2018,44671,"Altona Primary School, Altona, VIC"
"Fees, charges and parent contributions",327172,527,2018,44671,"Altona Primary School, Altona, VIC"
State / territory government recurring funding,4544837,7324,2018,44671,"Altona Primary School, Altona, VIC"
Australian government recurrent funding,1255712,2024,2018,44671,"Altona Primary School, Altona, VIC"
Total net recurrent income,2105530,18120,2018,44948,"Carlton Primary School, Carlton, VIC"
Subtotal,0,0,2018,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to debt servicing,0,0,2018,44948,"Carlton Primary School, Carlton, VIC"
Australian government recurrent funding,922721,1702,2018,50217,"Newport Gardens Primary School, Newport, VIC"
State / territory government recurring funding,3978063,7340,2018,50217,"Newport Gardens Primary School, Newport, VIC"
"Fees, charges and parent contributions",318074,587,2018,50217,"Newport Gardens Primary School, Newport, VIC"
Other private sources,107168,198,2018,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to current capital projects,0,0,2018,45475,"University High School, Parkville, VIC"
Total gross income,5326026,9827,2018,50217,"Newport Gardens Primary School, Newport, VIC"
Total net recurrent income,14455359,14806,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
Less deductions,0,0,2018,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2018,50217,"Newport Gardens Primary School, Newport, VIC"
Subtotal,0,0,2018,50217,"Newport Gardens Primary School, Newport, VIC"
Total net recurrent income,5326026,9827,2018,50217,"Newport Gardens Primary School, Newport, VIC"
Australian government recurrent funding,2366321,2424,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
State / territory government recurring funding,10137007,10383,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
"Fees, charges and parent contributions",1329224,1361,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
Other private sources,622807,638,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
Total gross income,14455359,14806,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
Less deductions,0,0,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to current capital projects,0,0,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to debt servicing,0,0,2018,45545,"Brunswick Secondary College, Brunswick, VIC"
Income allocated to current capital projects,0,0,2018,50217,"Newport Gardens Primary School, Newport, VIC"
"Fees, charges and parent contributions",1858166,1487,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
State / territory government recurring funding,14586970,11670,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Australian government recurrent funding,1327672,1637,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
Australian government recurrent funding,1412717,1837,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
State / territory government recurring funding,5947287,7734,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
"Fees, charges and parent contributions",256735,334,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Other private sources,607331,790,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total gross income,8224070,10694,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Less deductions,0,0,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to current capital projects,0,0,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to debt servicing,0,0,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Subtotal,0,0,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total net recurrent income,8224070,10694,2018,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Other private sources,131055,151,2018,44515,"Yarraville West Primary School, Yarraville, VIC"
State / territory government recurring funding,586607,3008,2018,45797,"St John's School, Footscray, VIC"
"Fees, charges and parent contributions",243559,1249,2018,45797,"St John's School, Footscray, VIC"
Australian government recurrent funding,2004148,10278,2018,45797,"St John's School, Footscray, VIC"
State / territory government recurring funding,4170760,10011,2018,48415,"Kensington Primary School, Kensington, WA"
"Fees, charges and parent contributions",103220,248,2018,48415,"Kensington Primary School, Kensington, WA"
Other private sources,64171,154,2018,48415,"Kensington Primary School, Kensington, WA"
Total gross income,5178838,12431,2018,48415,"Kensington Primary School, Kensington, WA"
Less deductions,0,0,2018,48415,"Kensington Primary School, Kensington, WA"
Income allocated to current capital projects,0,0,2018,48415,"Kensington Primary School, Kensington, WA"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,48415,"Kensington Primary School, Kensington, WA"
Income allocated to debt servicing,0,0,2018,48415,"Kensington Primary School, Kensington, WA"
Subtotal,0,0,2018,48415,"Kensington Primary School, Kensington, WA"
Total net recurrent income,5178838,12431,2018,48415,"Kensington Primary School, Kensington, WA"
Total gross income,8472031,9738,2018,44515,"Yarraville West Primary School, Yarraville, VIC"
Less deductions,0,0,2018,44515,"Yarraville West Primary School, Yarraville, VIC"
Income allocated to current capital projects,0,0,2018,44515,"Yarraville West Primary School, Yarraville, VIC"
Australian government recurrent funding,840687,2018,2018,48415,"Kensington Primary School, Kensington, WA"
Other private sources,101130,519,2018,45797,"St John's School, Footscray, VIC"
Total gross income,2935444,15054,2018,45797,"St John's School, Footscray, VIC"
Less deductions,245307,1258,2018,45797,"St John's School, Footscray, VIC"
State / territory government recurring funding,5636514,6950,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
"Fees, charges and parent contributions",715930,883,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
Other private sources,381649,471,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
Total gross income,8061765,9941,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
Less deductions,0,0,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to debt servicing,0,0,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
Subtotal,0,0,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
Total net recurrent income,8061765,9941,2018,44273,"Williamstown North Primary School, Williamstown, VIC"
Australian government recurrent funding,3367109,2694,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to current capital projects,0,0,2018,44948,"Carlton Primary School, Carlton, VIC"
Less deductions,0,0,2018,44948,"Carlton Primary School, Carlton, VIC"
Total gross income,2105530,18120,2018,44948,"Carlton Primary School, Carlton, VIC"
Other private sources,76972,662,2018,44948,"Carlton Primary School, Carlton, VIC"
"Fees, charges and parent contributions",54640,470,2018,44948,"Carlton Primary School, Carlton, VIC"
State / territory government recurring funding,1579160,13590,2018,44948,"Carlton Primary School, Carlton, VIC"
Australian government recurrent funding,394758,3397,2018,44948,"Carlton Primary School, Carlton, VIC"
Total net recurrent income,8472031,9738,2018,44515,"Yarraville West Primary School, Yarraville, VIC"
Subtotal,0,0,2018,44515,"Yarraville West Primary School, Yarraville, VIC"
Australian government recurrent funding,1645470,1891,2018,44515,"Yarraville West Primary School, Yarraville, VIC"
State / territory government recurring funding,6134796,7051,2018,44515,"Yarraville West Primary School, Yarraville, VIC"
"Fees, charges and parent contributions",560711,644,2018,44515,"Yarraville West Primary School, Yarraville, VIC"
Total net recurrent income,2690137,13796,2018,45797,"St John's School, Footscray, VIC"
Subtotal,245307,1258,2018,45797,"St John's School, Footscray, VIC"
Income allocated to debt servicing,33201,170,2018,45797,"St John's School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,19110,98,2018,45797,"St John's School, Footscray, VIC"
Income allocated to current capital projects,192996,990,2018,45797,"St John's School, Footscray, VIC"
Total gross income,6255090,10081,2018,44671,"Altona Primary School, Altona, VIC"
Less deductions,0,0,2018,44671,"Altona Primary School, Altona, VIC"
State / territory government recurring funding,2210215,11819,2018,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to debt servicing,0,0,2018,45360,"Braybrook College, Braybrook, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to current capital projects,0,0,2018,45360,"Braybrook College, Braybrook, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,45360,"Braybrook College, Braybrook, VIC"
Income allocated to debt servicing,0,0,2018,44664,"Footscray West Primary School, West Footscray, VIC"
Subtotal,0,0,2018,45360,"Braybrook College, Braybrook, VIC"
Total net recurrent income,20242219,14500,2018,45360,"Braybrook College, Braybrook, VIC"
State / territory government recurring funding,7880655,8920,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Subtotal,0,0,2018,44664,"Footscray West Primary School, West Footscray, VIC"
Less deductions,0,0,2018,45360,"Braybrook College, Braybrook, VIC"
Australian government recurrent funding,3266993,2274,2018,45475,"University High School, Parkville, VIC"
Australian government recurrent funding,1872398,2119,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Total net recurrent income,6447168,10201,2018,44664,"Footscray West Primary School, West Footscray, VIC"
Total gross income,8316786,13545,2018,45517,"Fitzroy High School, Fitzroy North, VIC"
Other private sources,153114,249,2018,45517,"Fitzroy High School, Fitzroy North, VIC"
"Fees, charges and parent contributions",694883,1132,2018,45517,"Fitzroy High School, Fitzroy North, VIC"
State / territory government recurring funding,6070241,9886,2018,45517,"Fitzroy High School, Fitzroy North, VIC"
Australian government recurrent funding,1398548,2278,2018,45517,"Fitzroy High School, Fitzroy North, VIC"
State / territory government recurring funding,3600377,8824,2018,44714,"Footscray North Primary School, Footscray, VIC"
State / territory government recurring funding,14156353,9853,2018,45475,"University High School, Parkville, VIC"
Australian government recurrent funding,855186,2096,2018,44714,"Footscray North Primary School, Footscray, VIC"
Total gross income,20242219,14500,2018,45360,"Braybrook College, Braybrook, VIC"
"Fees, charges and parent contributions",716677,513,2018,45360,"Braybrook College, Braybrook, VIC"
Total net recurrent income,11205137,12683,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Australian government recurrent funding,1075204,1701,2018,44664,"Footscray West Primary School, West Footscray, VIC"
State / territory government recurring funding,4692902,7425,2018,44664,"Footscray West Primary School, West Footscray, VIC"
"Fees, charges and parent contributions",481385,762,2018,44664,"Footscray West Primary School, West Footscray, VIC"
Other private sources,197677,313,2018,44664,"Footscray West Primary School, West Footscray, VIC"
Total gross income,6447168,10201,2018,44664,"Footscray West Primary School, West Footscray, VIC"
Less deductions,0,0,2018,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to current capital projects,0,0,2018,44664,"Footscray West Primary School, West Footscray, VIC"
Other private sources,157103,113,2018,45360,"Braybrook College, Braybrook, VIC"
Subtotal,0,0,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to current capital projects,0,0,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Less deductions,0,0,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Total gross income,11205137,12683,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Other private sources,328892,372,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
"Fees, charges and parent contributions",1123192,1271,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Australian government recurrent funding,3629479,2600,2018,45360,"Braybrook College, Braybrook, VIC"
State / territory government recurring funding,15738960,11274,2018,45360,"Braybrook College, Braybrook, VIC"
Income allocated to debt servicing,0,0,2018,45454,"Princes Hill Secondary College, Princes Hill, VIC"
Income allocated to debt servicing,0,0,2018,44378,"Footscray City Primary School, Footscray, VIC"
Total net recurrent income,4426795,10480,2018,44378,"Footscray City Primary School, Footscray, VIC"
Australian government recurrent funding,701345,1801,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
Other private sources,116946,277,2018,44378,"Footscray City Primary School, Footscray, VIC"
Subtotal,0,0,2018,44378,"Footscray City Primary School, Footscray, VIC"
Less deductions,0,0,2018,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to current capital projects,0,0,2018,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to debt servicing,0,0,2018,45517,"Fitzroy High School, Fitzroy North, VIC"
Subtotal,0,0,2018,45517,"Fitzroy High School, Fitzroy North, VIC"
State / territory government recurring funding,3252180,7699,2018,44378,"Footscray City Primary School, Footscray, VIC"
Australian government recurrent funding,777673,1841,2018,44378,"Footscray City Primary School, Footscray, VIC"
Income allocated to current capital projects,0,0,2018,44671,"Altona Primary School, Altona, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44671,"Altona Primary School, Altona, VIC"
Income allocated to debt servicing,0,0,2018,44671,"Altona Primary School, Altona, VIC"
Subtotal,0,0,2018,44671,"Altona Primary School, Altona, VIC"
Total net recurrent income,6255090,10081,2018,44671,"Altona Primary School, Altona, VIC"
"Fees, charges and parent contributions",1452051,1011,2018,45475,"University High School, Parkville, VIC"
Other private sources,1004380,699,2018,45475,"University High School, Parkville, VIC"
Total gross income,19879777,13837,2018,45475,"University High School, Parkville, VIC"
Total gross income,4426795,10480,2018,44378,"Footscray City Primary School, Footscray, VIC"
Less deductions,0,0,2018,44378,"Footscray City Primary School, Footscray, VIC"
"Fees, charges and parent contributions",279996,663,2018,44378,"Footscray City Primary School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44378,"Footscray City Primary School, Footscray, VIC"
State / territory government recurring funding,2931041,7527,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
"Fees, charges and parent contributions",244312,627,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
Other private sources,63001,162,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
Total gross income,3939699,10117,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
Less deductions,0,0,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
Income allocated to current capital projects,0,0,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
Total net recurrent income,3939699,10117,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
Subtotal,0,0,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
Income allocated to debt servicing,0,0,2018,44485,"Carlton Gardens Primary School, Carlton, VIC"
Income allocated to current capital projects,0,0,2018,44378,"Footscray City Primary School, Footscray, VIC"
"Fees, charges and parent contributions",813841,825,2019,45538,"Bayside P-12 College, Williamstown, VIC"
Less deductions,0,0,2019,44693,"Kingsville Primary School, Yarraville, VIC"
Income allocated to current capital projects,0,0,2019,45442,"Northcote High School, Northcote, VIC"
State / territory government recurring funding,12300492,12470,2019,45538,"Bayside P-12 College, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,45442,"Northcote High School, Northcote, VIC"
Income allocated to current capital projects,0,0,2019,44693,"Kingsville Primary School, Yarraville, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,44693,"Kingsville Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2019,44693,"Kingsville Primary School, Yarraville, VIC"
Subtotal,0,0,2019,44693,"Kingsville Primary School, Yarraville, VIC"
Total net recurrent income,6283111,9578,2019,44693,"Kingsville Primary School, Yarraville, VIC"
Total net recurrent income,25631318,13862,2019,45442,"Northcote High School, Northcote, VIC"
Income allocated to debt servicing,0,0,2019,45442,"Northcote High School, Northcote, VIC"
Subtotal,0,0,2019,45442,"Northcote High School, Northcote, VIC"
Australian government recurrent funding,3113630,3157,2019,45538,"Bayside P-12 College, Williamstown, VIC"
Other private sources,212665,216,2019,45538,"Bayside P-12 College, Williamstown, VIC"
Total gross income,8609187,13947,2019,45517,"Fitzroy High School, Fitzroy North, VIC"
Less deductions,0,0,2019,45538,"Bayside P-12 College, Williamstown, VIC"
"Fees, charges and parent contributions",298329,850,2019,52587,"South Melbourne Primary School, Southbank, VIC"
State / territory government recurring funding,2842532,8098,2019,52587,"South Melbourne Primary School, Southbank, VIC"
Australian government recurrent funding,754884,2151,2019,52587,"South Melbourne Primary School, Southbank, VIC"
Total net recurrent income,8730844,10431,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
Subtotal,0,0,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to debt servicing,0,0,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to current capital projects,0,0,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
Less deductions,0,0,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
Total gross income,8730844,10431,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
Other private sources,144277,172,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
"Fees, charges and parent contributions",570741,682,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
State / territory government recurring funding,5997437,7165,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
Australian government recurrent funding,2018389,2411,2019,44270,"North Melbourne Primary School, North Melbourne, VIC"
Australian government recurrent funding,599538,2855,2019,44919,"Altona North Primary School, Altona North, VIC"
Other private sources,233426,665,2019,52587,"South Melbourne Primary School, Southbank, VIC"
Total gross income,16440628,16667,2019,45538,"Bayside P-12 College, Williamstown, VIC"
Total gross income,4129171,11764,2019,52587,"South Melbourne Primary School, Southbank, VIC"
Income allocated to current capital projects,0,0,2019,52587,"South Melbourne Primary School, Southbank, VIC"
Income allocated to current capital projects,0,0,2019,45538,"Bayside P-12 College, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,45538,"Bayside P-12 College, Williamstown, VIC"
Less deductions,0,0,2019,45442,"Northcote High School, Northcote, VIC"
Subtotal,0,0,2019,45538,"Bayside P-12 College, Williamstown, VIC"
Total net recurrent income,16440628,16667,2019,45538,"Bayside P-12 College, Williamstown, VIC"
Total gross income,25631318,13862,2019,45442,"Northcote High School, Northcote, VIC"
Other private sources,532687,288,2019,45442,"Northcote High School, Northcote, VIC"
"Fees, charges and parent contributions",3791842,2051,2019,45442,"Northcote High School, Northcote, VIC"
State / territory government recurring funding,17016517,9203,2019,45442,"Northcote High School, Northcote, VIC"
Total gross income,6283111,9578,2019,44693,"Kingsville Primary School, Yarraville, VIC"
Australian government recurrent funding,4290272,2320,2019,45442,"Northcote High School, Northcote, VIC"
Total net recurrent income,4129171,11764,2019,52587,"South Melbourne Primary School, Southbank, VIC"
Subtotal,0,0,2019,52587,"South Melbourne Primary School, Southbank, VIC"
Income allocated to debt servicing,0,0,2019,52587,"South Melbourne Primary School, Southbank, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,52587,"South Melbourne Primary School, Southbank, VIC"
Less deductions,0,0,2019,52587,"South Melbourne Primary School, Southbank, VIC"
Total net recurrent income,3201801,11394,2019,44634,"Spotswood Primary School, Spotswood, VIC"
Other private sources,200913,306,2019,44693,"Kingsville Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2019,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to debt servicing,0,0,2019,52698,"Prahran High School, Windsor, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2019,52698,"Prahran High School, Windsor, VIC"
