Net recurrent income,$ Total,$ per student,year,school_id,school_name
Australian government recurrent funding,488220,1550,2014,50217,"Newport Gardens Primary School, Newport, VIC"
State / territory government recurring funding,2075077,6588,2014,50217,"Newport Gardens Primary School, Newport, VIC"
"Fees, charges and parent contributions",113546,360,2014,50217,"Newport Gardens Primary School, Newport, VIC"
Other private sources,146935,466,2014,50217,"Newport Gardens Primary School, Newport, VIC"
Total gross income,2823778,8964,2014,50217,"Newport Gardens Primary School, Newport, VIC"
Less deductions,0,0,2014,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to current capital projects,0,0,2014,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2014,50217,"Newport Gardens Primary School, Newport, VIC"
Total net recurrent income,2823778,8964,2014,50217,"Newport Gardens Primary School, Newport, VIC"
Total net recurrent income,1955861,9878,2014,44378,"Footscray City Primary School, Footscray, VIC"
Income allocated to current capital projects,0,0,2014,45587,"Altona College, Altona, VIC"
Total gross income,2561925,12558,2014,45587,"Altona College, Altona, VIC"
Income allocated to debt servicing,0,0,2014,44671,"Altona Primary School, Altona, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44671,"Altona Primary School, Altona, VIC"
Income allocated to current capital projects,0,0,2014,44671,"Altona Primary School, Altona, VIC"
Less deductions,0,0,2014,44671,"Altona Primary School, Altona, VIC"
Total gross income,4967954,8840,2014,44671,"Altona Primary School, Altona, VIC"
Other private sources,98285,175,2014,44671,"Altona Primary School, Altona, VIC"
Subtotal,0,0,2014,44671,"Altona Primary School, Altona, VIC"
"Fees, charges and parent contributions",354479,631,2014,44671,"Altona Primary School, Altona, VIC"
Australian government recurrent funding,930064,1655,2014,44671,"Altona Primary School, Altona, VIC"
Total net recurrent income,1340885,14575,2014,44948,"Carlton Primary School, Carlton, VIC"
Subtotal,0,0,2014,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to debt servicing,0,0,2014,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to current capital projects,0,0,2014,44948,"Carlton Primary School, Carlton, VIC"
State / territory government recurring funding,3585126,6379,2014,44671,"Altona Primary School, Altona, VIC"
Total net recurrent income,4967954,8840,2014,44671,"Altona Primary School, Altona, VIC"
Australian government recurrent funding,2572173,1759,2014,40427,"Williamstown High School, Williamstown, VIC"
Total net recurrent income,3000846,12715,2014,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to current capital projects,0,0,2014,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44634,"Spotswood Primary School, Spotswood, VIC"
Income allocated to debt servicing,0,0,2014,44634,"Spotswood Primary School, Spotswood, VIC"
Subtotal,0,0,2014,44634,"Spotswood Primary School, Spotswood, VIC"
Total net recurrent income,1590717,9248,2014,44634,"Spotswood Primary School, Spotswood, VIC"
Australian government recurrent funding,578117,2450,2014,44919,"Altona North Primary School, Altona North, VIC"
State / territory government recurring funding,2239520,9489,2014,44919,"Altona North Primary School, Altona North, VIC"
"Fees, charges and parent contributions",86457,366,2014,44919,"Altona North Primary School, Altona North, VIC"
Other private sources,96753,410,2014,44919,"Altona North Primary School, Altona North, VIC"
Total gross income,3000846,12715,2014,44919,"Altona North Primary School, Altona North, VIC"
Less deductions,0,0,2014,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to current capital projects,0,0,2014,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to debt servicing,0,0,2014,44919,"Altona North Primary School, Altona North, VIC"
Subtotal,0,0,2014,44919,"Altona North Primary School, Altona North, VIC"
Less deductions,0,0,2014,44948,"Carlton Primary School, Carlton, VIC"
Less deductions,0,0,2014,44634,"Spotswood Primary School, Spotswood, VIC"
Total gross income,1340885,14575,2014,44948,"Carlton Primary School, Carlton, VIC"
"Fees, charges and parent contributions",13845,150,2014,44948,"Carlton Primary School, Carlton, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44693,"Kingsville Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2014,44693,"Kingsville Primary School, Yarraville, VIC"
Subtotal,0,0,2014,44693,"Kingsville Primary School, Yarraville, VIC"
